"element"	"depth"	"sequence"	"choice"
"attribute"	0	0	0
"attribute"	0	0	201
"attributeName"	1	221	220
"attributeLabel"	1	221	220
"attributeDefinition"	1	221	220
"storageType"	1	221	220
"measurementScale"	1	221	220
"nominal"	2	221	374
"nonNumericDomain"	3	392	374
"ordinal"	3	221	374
"nonNumericDomain"	4	417	374
"interval"	4	221	374
"unit"	5	441	374
"precision"	6	441	374
"numericDomain"	7	441	374
"ratio"	7	221	374
"unit"	8	468	374
"precision"	9	468	374
"numericDomain"	10	468	374
"dateTime"	10	221	374
"formatString"	11	507	374
"dateTimePrecision"	11	507	374
"dateTimeDomain"	11	507	374
"missingValueCode"	9	221	220
"code"	10	670	220
"codeExplanation"	10	670	220
"accuracy"	9	221	220
"coverage"	9	221	220
"methods"	9	221	220
"attributeAccuracyReport"	9	767	0
"quantitativeAttributeAccuracyAssessment"	9	767	0
"attributeAccuracyValue"	10	797	0
"attributeAccuracyExplanation"	10	797	0
"attributeList"	9	0	0
"standardUnit"	9	0	857
"customUnit"	9	0	857
"enumeratedDomain"	9	0	943
"codeDefinition"	10	0	964
"code"	11	977	964
"definition"	11	977	964
"source"	11	977	964
"externalCodeSet"	10	0	964
"codesetName"	11	1069	964
"citation"	11	1069	1084
"codesetURL"	11	1069	1084
"entityCodeList"	10	0	964
"entityReference"	11	1128	964
"valueAttributeReference"	11	1128	964
"definitionAttributeReference"	11	1128	964
"orderAttributeReference"	11	1128	964
"textDomain"	9	0	943
"definition"	10	1253	943
"pattern"	10	1253	943
"source"	10	1253	943
"numberType"	9	1348	1347
"bounds"	9	1408	0
"minimum"	10	1426	0
"maximum"	10	1426	0
"bounds"	9	1533	0
"minimum"	10	1551	0
"maximum"	10	1551	0
