"element"	"depth"	"sequence"	"choice"
"geographicCoverage"	0	0	131
"temporalCoverage"	0	0	131
"taxonomicCoverage"	0	0	131
"singleDateTime"	0	0	212
"rangeOfDates"	0	0	212
"beginDate"	1	245	212
"endDate"	1	245	212
"calendarDate"	0	298	297
"time"	0	298	297
"alternativeTimeScale"	0	0	297
"timeScaleName"	1	381	297
"timeScaleAgeEstimate"	1	381	297
"timeScaleAgeUncertainty"	1	381	297
"timeScaleAgeExplanation"	1	381	297
"timeScaleCitation"	1	381	297
"geographicDescription"	0	487	486
"boundingCoordinates"	0	487	486
"westBoundingCoordinate"	1	575	486
"eastBoundingCoordinate"	1	575	486
"northBoundingCoordinate"	1	575	486
"southBoundingCoordinate"	1	575	486
"boundingAltitudes"	1	575	486
"altitudeMinimum"	2	713	486
"altitudeMaximum"	2	713	486
"altitudeUnits"	2	713	486
"datasetGPolygon"	0	487	486
"datasetGPolygonOuterGRing"	1	777	486
"gRingPoint"	2	811	810
"gRing"	2	777	810
"datasetGPolygonExclusionGRing"	1	777	486
"gRingPoint"	2	777	869
"gRing"	2	777	869
"gRingLatitude"	0	916	0
"gRingLongitude"	0	916	0
"taxonomicSystem"	0	1029	1028
"classificationSystem"	1	1041	1028
"classificationSystemCitation"	2	1054	1028
"classificationSystemModifications"	2	1054	1028
"identificationReference"	1	1041	1028
"identifierName"	1	1041	1028
"taxonomicProcedures"	1	1041	1028
"taxonomicCompleteness"	1	1041	1028
"vouchers"	1	1041	1028
"specimen"	2	1142	1028
"repository"	2	1142	1028
"originator"	3	1167	1028
"generalTaxonomicCoverage"	0	1029	1028
"taxonomicClassification"	0	1029	1028
"taxonRankName"	0	1248	0
"taxonRankValue"	0	1248	0
"commonName"	0	1248	0
"taxonomicClassification"	0	1248	0
"taxonomicClassification"	0	0	0
