"element"	"depth"	"sequence"	"choice"
"dataset"	0	0	0
"purpose"	0	124	123
"maintenance"	0	124	123
"contact"	0	124	123
"publisher"	0	124	123
"pubPlace"	0	124	123
"methods"	0	124	123
"project"	0	124	123
"dataTable"	0	124	216
"spatialRaster"	0	124	216
"spatialVector"	0	124	216
"storedProcedure"	0	124	216
"view"	0	124	216
"otherEntity"	0	124	216
"citation"	0	124	123
"description"	0	332	0
"maintenanceUpdateFrequency"	0	332	0
"changeHistory"	0	332	0
"changeScope"	1	370	0
"oldValue"	1	370	0
"changeDate"	1	370	0
"comment"	1	370	0
