"element"	"depth"	"sequence"	"choice"
"citation"	0	0	0
"contact"	0	100	99
"article"	0	100	112
"book"	0	100	112
"chapter"	0	100	112
"editedBook"	0	100	112
"manuscript"	0	100	112
"report"	0	100	112
"thesis"	0	100	112
"conferenceProceedings"	0	100	112
"personalCommunication"	0	100	112
"map"	0	100	112
"generic"	0	100	112
"audioVisual"	0	100	112
"presentation"	0	100	112
"journal"	0	294	0
"volume"	0	294	0
"issue"	0	294	0
"pageRange"	0	294	0
"publisher"	0	294	0
"publicationPlace"	0	294	0
"ISSN"	0	294	0
"publisher"	0	397	0
"publicationPlace"	0	397	0
"edition"	0	397	0
"volume"	0	397	0
"numberOfVolumes"	0	397	0
"totalPages"	0	397	0
"totalFigures"	0	397	0
"totalTables"	0	397	0
"ISBN"	0	397	0
"chapterNumber"	0	526	0
"editor"	0	526	0
"bookTitle"	0	526	0
"pageRange"	0	526	0
"conferenceName"	0	594	0
"conferenceDate"	0	594	0
"conferenceLocation"	0	594	0
"institution"	0	642	0
"totalPages"	0	642	0
"reportNumber"	0	683	0
"publisher"	0	683	0
"publicationPlace"	0	683	0
"totalPages"	0	683	0
"publisher"	0	748	0
"publicationPlace"	0	748	0
"communicationType"	0	748	0
"recipient"	0	748	0
"publisher"	0	815	0
"edition"	0	815	0
"geographicCoverage"	0	815	0
"scale"	0	815	0
"publisher"	0	874	0
"publicationPlace"	0	874	0
"performer"	0	874	0
"ISBN"	0	874	0
"publisher"	0	932	0
"publicationPlace"	0	932	0
"referenceType"	0	932	0
"volume"	0	932	0
"numberOfVolumes"	0	932	0
"totalPages"	0	932	0
"totalFigures"	0	932	0
"totalTables"	0	932	0
"edition"	0	932	0
"originalPublication"	0	932	0
"reprintEdition"	0	932	0
"reviewedItem"	0	932	0
"ISBN"	0	932	1090
"ISSN"	0	932	1090
"degree"	0	1132	0
"institution"	0	1132	0
"totalPages"	0	1132	0
"conferenceName"	0	1187	0
"conferenceDate"	0	1187	0
"conferenceLocation"	0	1187	0
