"element"	"depth"	"sequence"	"choice"
"physical"	0	0	0
"objectName"	0	125	124
"size"	0	125	124
"authentication"	0	125	124
"compressionMethod"	0	125	211
"encodingMethod"	0	125	211
"characterEncoding"	0	125	124
"dataFormat"	0	125	124
"textFormat"	1	125	282
"numHeaderLines"	2	299	282
"numFooterLines"	2	299	282
"recordDelimiter"	2	299	282
"physicalLineDelimiter"	2	299	282
"numPhysicalLinesPerRecord"	2	299	282
"maxRecordLength"	2	299	282
"attributeOrientation"	2	299	282
"simpleDelimited"	2	299	458
"fieldDelimiter"	3	476	458
"collapseDelimiters"	3	476	458
"quoteCharacter"	3	476	458
"literalCharacter"	3	476	458
"complex"	2	299	458
"textFixed"	3	299	624
"fieldWidth"	4	649	624
"lineNumber"	4	649	624
"fieldStartColumn"	4	649	624
"textDelimited"	3	299	624
"fieldDelimiter"	4	741	624
"collapseDelimiters"	4	741	624
"lineNumber"	4	741	624
"quoteCharacter"	4	741	624
"literalCharacter"	4	741	624
"externallyDefinedFormat"	1	125	282
"formatName"	2	942	282
"formatVersion"	2	942	282
"citation"	2	942	282
"binaryRasterFormat"	1	125	282
"rowColumnOrientation"	2	1000	282
"multiBand"	2	1000	282
"nbands"	3	1036	282
"layout"	3	1036	282
"nbits"	2	1000	282
"byteorder"	2	1000	282
"skipbytes"	2	1000	282
"bandrowbytes"	2	1000	282
"totalrowbytes"	2	1000	282
"bandgapbytes"	2	1000	282
"distribution"	0	125	124
"online"	0	1232	1233
"offline"	0	1232	1233
"inline"	0	1232	1233
"access"	0	1232	1231
"onlineDescription"	0	1314	0
"url"	0	1314	1325
"connection"	0	1314	1325
