"element"	"depth"	"sequence"	"choice"
"alternateIdentifier"	0	93	0
"shortName"	0	93	0
"title"	0	93	0
"creator"	0	93	0
"metadataProvider"	0	93	0
"associatedParty"	0	93	0
"role"	1	194	0
"pubDate"	0	93	0
"language"	0	93	0
"series"	0	93	0
"abstract"	0	93	0
"keywordSet"	0	93	0
"keyword"	1	282	0
"keywordThesaurus"	1	282	0
"additionalInfo"	0	93	0
"intellectualRights"	0	93	0
"distribution"	0	93	0
"coverage"	0	93	0
"references"	0	406	0
"online"	0	0	613
"offline"	0	0	613
"inline"	0	0	613
"schemeName"	0	669	668
"description"	0	669	668
"parameterDefinition"	0	669	668
"name"	1	758	668
"definition"	1	758	668
"defaultValue"	1	758	668
"mediumName"	0	858	0
"mediumDensity"	0	858	0
"mediumDensityUnits"	0	858	0
"mediumVolume"	0	858	0
"mediumFormat"	0	858	0
"mediumNote"	0	858	0
"onlineDescription"	0	964	0
"url"	0	964	977
"connection"	0	964	977
"connectionDefinition"	0	964	977
"connectionDefinition"	0	1100	1099
"parameter"	0	1100	1099
"name"	1	1124	1099
"value"	1	1124	1099
"value"	0	1196	0
