"element"	"depth"	"sequence"	"choice"
"software"	0	0	0
"implementation"	0	97	96
"distribution"	1	117	96
"size"	1	117	96
"language"	1	117	96
"LanguageValue"	2	154	96
"LanguageCodeStandard"	2	154	96
"operatingSystem"	1	117	96
"machineProcessor"	1	117	96
"virtualMachine"	1	117	96
"diskUsage"	1	117	96
"runtimeMemoryUsage"	1	117	96
"programmingLanguage"	1	117	96
"checksum"	1	117	96
"dependency"	1	117	96
"dependency"	0	97	96
"licenseURL"	0	97	314
"license"	0	97	314
"version"	0	97	96
"project"	0	97	96
"dependency"	0	0	0
"action"	1	400	0
"software"	1	400	0
