"element"	"depth"	"sequence"	"choice"
"spatialRaster"	0	0	0
"attributeList"	0	105	104
"constraint"	0	105	104
"spatialReference"	0	105	104
"georeferenceInfo"	0	105	104
"cornerPoint"	1	105	154
"xCoordinate"	2	169	154
"yCoordinate"	2	169	154
"pointInPixel"	2	169	154
"corner"	2	169	154
"controlPoint"	1	105	154
"column"	2	244	154
"row"	2	244	154
"xCoordinate"	2	244	154
"yCoordinate"	2	244	154
"pointInPixel"	2	244	154
"bilinearFit"	1	105	154
"xIntercept"	2	326	154
"xSlope"	2	326	154
"yIntercept"	2	326	154
"ySlope"	2	326	154
"horizontalAccuracy"	0	105	104
"verticalAccuracy"	0	105	104
"cellSizeXDirection"	0	105	104
"cellSizeYDirection"	0	105	104
"numberOfBands"	0	105	104
"rasterOrigin"	0	105	104
"rows"	0	105	104
"columns"	0	105	104
"verticals"	0	105	104
"cellGeometry"	0	105	104
"toneGradation"	0	105	104
"scaleFactor"	0	105	104
"offset"	0	105	104
"imageDescription"	0	105	104
"illuminationElevationAngle"	1	551	104
"illuminationAzimuthAngle"	1	551	104
"imageOrientationAngle"	1	551	104
"imagingCondition"	1	551	104
"imageQualityCode"	1	551	104
"cloudCoverPercentage"	1	551	104
"preProcessingTypeCode"	1	551	104
"compressionGenerationQuality"	1	551	104
"triangulationIndicator"	1	551	104
"radiometricDataAvailability"	1	551	104
"cameraCalibrationInformationAvailability"	1	551	104
"filmDistortionInformationAvailability"	1	551	104
"lensDistortionInformationAvailability"	1	551	104
"bandDescription"	1	551	104
"sequenceIdentifier"	0	757	0
"highWavelength"	0	757	0
"lowWaveLength"	0	757	0
"waveLengthUnits"	0	757	0
"peakResponse"	0	757	0
"accuracyReport"	0	893	0
"quantitativeAccuracyReport"	0	893	0
"quantitativeAccuracyValue"	1	914	0
"quantitativeAccuracyMethod"	1	914	0
