"element"	"depth"	"sequence"	"choice"
"horizCoordSysName"	0	86	87
"horizCoordSysDef"	0	86	87
"vertCoordSys"	0	86	85
"altitudeSysDef"	1	2177	85
"altitudeDatumName"	2	2191	85
"altitudeResolution"	2	2191	85
"altitudeDistanceUnits"	2	2191	85
"altitudeEncodingMethod"	2	2191	85
"depthSysDef"	1	2177	85
"depthDatumName"	2	2250	85
"depthResolution"	2	2250	85
"depthDistanceUnits"	2	2250	85
"depthEncodingMethod"	2	2250	85
"datum"	0	2310	0
"spheroid"	0	2310	0
"primeMeridian"	0	2310	0
"unit"	0	2310	0
"geogCoordSys"	0	0	2413
"projCoordSys"	0	0	2413
"geogCoordSys"	1	2433	2413
"projection"	1	2433	2413
"parameter"	2	2454	2413
"unit"	2	2454	2413
"projectionList"	0	0	0
"horizCoordSysDef"	1	2545	0
"spatialReference"	0	0	0
