"element"	"depth"	"sequence"	"choice"
"text"	0	0	0
"section"	0	0	104
"para"	0	0	104
"value"	0	0	148
"itemizedlist"	0	0	148
"orderedlist"	0	0	148
"emphasis"	0	0	148
"value"	1	196	148
"subscript"	1	0	148
"superscript"	1	0	148
"literalLayout"	1	0	148
"value"	2	233	148
"ulink"	2	0	148
"citetitle"	3	248	148
"title"	2	287	0
"para"	2	287	299
"section"	2	287	299
"listitem"	2	342	0
"para"	3	342	358
"itemizedlist"	3	342	358
"orderedlist"	3	342	358
"value"	2	0	417
"subscript"	2	0	417
"superscript"	2	0	417
