ID,Name,Type,MediaType,Extension
eml://ecoinformatics.org/eml-2.0.0,"Ecological Metadata Language, version 2.0.0",METADATA,text/xml,xml
eml://ecoinformatics.org/eml-2.0.1,"Ecological Metadata Language, version 2.0.1",METADATA,text/xml,xml
eml://ecoinformatics.org/eml-2.1.0,"Ecological Metadata Language, version 2.1.0",METADATA,text/xml,xml
eml://ecoinformatics.org/eml-2.1.1,"Ecological Metadata Language, version 2.1.1",METADATA,text/xml,xml
https://eml.ecoinformatics.org/eml-2.2.0,"Ecological Metadata Language, version 2.2.0",METADATA,text/xml,xml
http://www.esri.com/metadata/esriprof80.dtd,"ESRI Profile of the Content Standard for Digital Geospatial Metadata, March 2003",METADATA,text/xml,xml
FGDC-STD-001.1-1999,"Content Standard for Digital Geospatial Metadata, Biological Data Profile, version 001.1-1999",METADATA,text/xml,xml
FGDC-STD-001.2-1999,"Content Standard for Digital Geospatial Metadata, Metadata Profile for Shoreline Data, version 001.2-1999",METADATA,text/xml,xml
FGDC-STD-001-1998,"Content Standard for Digital Geospatial Metadata, version 001-1998",METADATA,text/xml,xml
INCITS-453-2009,North American Profile of ISO 19115: 2003 Geographic Information - Metadata,METADATA,text/xml,xml
http://www.unidata.ucar.edu/namespaces/netcdf/ncml-2.2,"NetCDF Markup Language, version 2.2",METADATA,application/netcdf,nc
CF-1.0,"NetCDF Climate and Forecast Metadata Convention, version 1.0",DATA,application/netcdf,nc
CF-1.1,"NetCDF Climate and Forecast Metadata Convention, version 1.1",DATA,application/netcdf,nc
CF-1.2,"NetCDF Climate and Forecast Metadata Convention, version 1.2",DATA,application/netcdf,nc
CF-1.3,"NetCDF Climate and Forecast Metadata Convention, version 1.3",DATA,application/netcdf,nc
CF-1.4,"NetCDF Climate and Forecast Metadata Convention, version 1.4",DATA,application/netcdf,nc
http://www.cuahsi.org/waterML/1.0/,"Water Markup Language, version 1.0",METADATA,text/xml,xml
http://www.cuahsi.org/waterML/1.1/,"Water Markup Language, version 1.0",METADATA,text/xml,xml
http://www.loc.gov/METS/,"Metadata Encoding and Transmission Standard, version 1",METADATA,text/xml,xml
netCDF-3,"Network Common Data Format, version 3",DATA,application/netcdf,nc
netCDF-4,"Network Common Data Format, version 4",DATA,application/netcdf,nc
text/plain,Plain Text,DATA,text/plain,txt
text/csv,Comma Separated Values Text,DATA,text/csv,csv
image/bmp,Bitmap Image File,DATA,image/bmp,bmp
image/gif,Graphics Interchange Format,DATA,image/gif,gif
image/jp2,JPEG 2000,DATA,image/jp2,jpg
image/jpeg,JPEG,DATA,image/jpeg,jpg
image/png,Portable Network Graphics,DATA,image/png,png
image/svg+xml,Scalable Vector Graphics,DATA,image/svg+xml,svg
image/tiff,Tagged Image File Format,DATA,image/tiff,tiff
http://rs.tdwg.org/dwc/xsd/simpledarwincore/,Simple Darwin Core,METADATA,text/xml,xml
http://digir.net/schema/conceptual/darwin/2003/1.0/darwin2.xsd,"Darwin Core, version 2.0",METADATA,text/xml,xml
application/octet-stream,Octet Stream,DATA,application/octet-stream,data
http://www.w3.org/2005/Atom,ATOM-1.0,DATA,application/atom+xml,atom
text/n3,N3,DATA,text/n3,rdf
text/turtle,TURTLE,DATA,text/turtle,ttl
application/rdf+xml,Resource Description Framework,DATA,application/rdf+xml,rdf
http://www.w3.org/TR/rdf-testcases/#ntriples,N-TRIPLE,DATA,text/plain,nt
http://www.w3.org/TR/rdf-syntax-grammar,RDF/XML,DATA,application/rdf+xml,rdf
http://www.w3.org/TR/rdfa-syntax,RDFa,DATA,application/xhtml+xml,xhtml
http://www.openarchives.org/ore/terms,Object Reuse and Exchange Vocabulary,RESOURCE,application/rdf+xml,rdf
application/pdf,Portable Document Format,DATA,application/pdf,pdf
http://datadryad.org/profile/v3.1,Dryad Metadata Application Profile Version 3.1,METADATA,text/xml,xml
http://purl.org/dryad/terms/,Dryad Metadata Application Profile Version 3.0,METADATA,text/xml,xml
application/vnd.ms-excel,Microsoft Excel file format,DATA,application/vnd.ms-excel,xls
application/msword,Microsoft Word file format,DATA,application/msword,doc
anvl/erc-v02,"Kernel Metadata and Electronic Resource Citations (ERCs), 2010.05.13",DATA,text/anvl,anvl
nexus/1997,NEXUS File Format for Systematic Information,DATA,text/plain,nxs
application/zip,Zip file format,DATA,application/zip,zip
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Microsoft Excel OpenXML,DATA,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,Microsoft Word OpenXML,DATA,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/x-fasta,FASTA sequence file,DATA,application/x-fasta,fasta
text/xml,Extensible Markup Language,DATA,text/xml,xml
application/xml,Extensible Markup Language Application,DATA,application/xml,xml
application/rtf,Rich Text Format,DATA,application/rtf,rtf
text/html,Hypertext Markup Language,DATA,text/html,html
application/postscript,Postscript,DATA,application/postscript,ps
audio/x-wav,Wave Audio Format,DATA,audio/x-wav,wav
application/mathematica,Mathematica Notebook,DATA,application/mathematica,nb
video/quicktime,Quicktime Video,DATA,video/quicktime,mov
application/x-gzip,GZIP Format,DATA,application/x-gzip,gz
application/x-python,Python programming language script,DATA,text/x-python,py
video/x-ms-wmv,Windows Media Video File,DATA,video/x-ms-wmv,wmv
audio/x-ms-wma,Windows Media Audio File,DATA,audio/x-ms-wma,wma
video/avi,Microsoft Audio Video Interleave (AVI) File,DATA,video/avi,avi
video/mpeg,MPEG-1 Video,DATA,video/mpeg,mpg
audio/mpeg,MPEG-1 or MPEG-2 Audio Layer III,DATA,audio/mpeg,mp3
video/mp4,MPEG-4 Video,DATA,video/mp4,mp4
application/x-tar,Tape Archive File,DATA,application/x-tar,tar
application/x-bzip2,Bzip2 Compressed File,DATA,application/x-bzip2,zip
application/vnd.google-earth.kml+xml,Google Earth Keyhole Markup Language (KML),DATA,application/vnd.google-earth.kml+xml,kml
application/x-rar-compressed,Roshal Archive File,DATA,application/x-rar-compressed,rar
application/vnd.ms-excel.sheet.binary.macroEnabled.12,Microsoft Office Excel 2007 binary workbooks,DATA,application/vnd.ms-excel.sheet.binary.macroEnabled.12,xls
application/vnd.ms-powerpoint,Microsoft Office Powerpoint,DATA,application/vnd.ms-powerpoint,ppt
application/vnd.openxmlformats-officedocument.presentationml.presentation,Microsoft Office OpenXML Presentation,DATA,application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx
-//ecoinformatics.org//eml-access-2.0.0beta4//EN,"Ecological Metadata Language, Access module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-attribute-2.0.0beta4//EN,"Ecological Metadata Language, Attribute module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-constraint-2.0.0beta4//EN,"Ecological Metadata Language, Constraint module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-coverage-2.0.0beta4//EN,"Ecological Metadata Language, Coverage module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-dataset-2.0.0beta4//EN,"Ecological Metadata Language, Dataset module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-distribution-2.0.0beta4//EN,"Ecological Metadata Language, Distribution module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-entity-2.0.0beta4//EN,"Ecological Metadata Language, Entity module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-literature-2.0.0beta4//EN,"Ecological Metadata Language, Literature module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-party-2.0.0beta4//EN,"Ecological Metadata Language, Party module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-physical-2.0.0beta4//EN,"Ecological Metadata Language, Physical module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-project-2.0.0beta4//EN,"Ecological Metadata Language, Project module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-protocol-2.0.0beta4//EN,"Ecological Metadata Language, Protocol module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-resource-2.0.0beta4//EN,"Ecological Metadata Language, Resource module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-software-2.0.0beta4//EN,"Ecological Metadata Language, Software module, version 2.0.0beta4",METADATA,text/xml,xml
-//ecoinformatics.org//eml-access-2.0.0beta6//EN,"Ecological Metadata Language, Access module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-attribute-2.0.0beta6//EN,"Ecological Metadata Language, Attribute module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-constraint-2.0.0beta6//EN,"Ecological Metadata Language, Constraint module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-coverage-2.0.0beta6//EN,"Ecological Metadata Language, Coverage module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-dataset-2.0.0beta6//EN,"Ecological Metadata Language, Dataset module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-distribution-2.0.0beta6//EN,"Ecological Metadata Language, Distribution module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-entity-2.0.0beta6//EN,"Ecological Metadata Language, Entity module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-literature-2.0.0beta6//EN,"Ecological Metadata Language, Literature module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-party-2.0.0beta6//EN,"Ecological Metadata Language, Party module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-physical-2.0.0beta6//EN,"Ecological Metadata Language, Physical module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-project-2.0.0beta6//EN,"Ecological Metadata Language, Project module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-protocol-2.0.0beta6//EN,"Ecological Metadata Language, Protocol module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-resource-2.0.0beta6//EN,"Ecological Metadata Language, Resource module, version 2.0.0beta6",METADATA,text/xml,xml
-//ecoinformatics.org//eml-software-2.0.0beta6//EN,"Ecological Metadata Language, Software module, version 2.0.0beta6",METADATA,text/xml,xml
ddi:codebook:2_5,"Data Documentation Initiative, Codebook version 2.5",METADATA,text/xml,xml
http://www.icpsr.umich.edu/DDI,"Data Documentation Initiative, Codebook version 2.1",METADATA,text/xml,xml
http://purl.org/ornl/schema/mercury/terms/v1.0,Oak Ridge National Lab Mercury Metadata version 1.0,METADATA,text/xml,xml
http://datacite.org/schema/kernel-3.0,DataCite Metadata Schema version 3.0,METADATA,text/xml,xml
http://datacite.org/schema/kernel-3.1,DataCite Metadata Schema version 3.1,METADATA,text/xml,xml
http://www.nexml.org/2009,NeXML 2009,DATA,text/xml,xml
http://ns.dataone.org/metadata/schema/onedcx/v1.0,DataONE Dublin Core Extended v1.0,METADATA,text/xml,xml
http://docs.annotatorjs.org/en/v1.2.x/annotation-format.html,AnnotatorJS 1.2.x Annotation model,RESOURCE,application/json,json
http://www.isotc211.org/2005/gmd,Geographic MetaData (GMD) Extensible Markup Language,METADATA,text/xml,xml
http://www.isotc211.org/2005/gmd-noaa,NOAA Variant Geographic MetaData (GMD) Extensible Markup Language,METADATA,text/xml,xml
http://www.isotc211.org/2005/gmd-pangaea,PANGAEA Variant Geographic MetaData (GMD) Extensible Markup Language,METADATA,text/xml,xml
application/bagit-097,BagIt File Packaging Format Version 0.97,DATA,,
text/tsv,Tab Separated Values Text,DATA,text/tab-separated-values,tsv
application/R,R programming language script,DATA,text/x-rsrc,R
application/MATLAB,MATLAB programming language script,DATA,text/x-matlab,m
application/SAS,SAS programming language script,DATA,text/x-sas,sas
application/vnd.google-earth.kmz,Google Earth Keyhole Markup Language (KML) Compressed archive,DATA,application/vnd.google-earth.kmz,kmz
application/MATLAB-v7.3,Mathworks MATLAB version 7.3 (R2006b or later) binary file - HDF5 compatible,DATA,application/octet-stream,mat
application/MATLAB-v7,Mathworks MATLAB version 7 (R14 or later) binary file,DATA,application/octet-stream,mat
application/MATLAB-v6,Mathworks MATLAB version 6 (R8 or later) binary file,DATA,application/octet-stream,mat
application/MATLAB-v4,Mathworks MATLAB version 4 binary file,DATA,application/octet-stream,mat
application/json,JavaScript Object Notation (JSON) file,DATA,application/json,json
application/json-ld,JavaScript Object Notation (JSON) Linked Data file,DATA,application/ld+json,json
text/markdown,Markdown file (pandoc markdown compatible),DATA,text/markdown,md
text/x-rmarkdown,R Markdown file (pandoc markdown compatible),DATA,text/markdown,Rmd
image/x-raw,RAW digital sensor image file,DATA,application/octet-stream,raw
http://www.openarchives.org/OAI/2.0/oai_dc/,"OAI-PMH Dublin Core v2.0, with online related resource",METADATA,text/xml,xml
application/x-hdf,Hierarchical Data Format version 4 (HDF4),DATA,application/x-hdf,h4
application/x-hdf5,Hierarchical Data Format version 5 (HDF5),DATA,application/x-hdf5,h5
https://purl.dataone.org/collections-1.0.0,Dataset collections v1.0.0,METADATA,text/xml,xml
https://purl.dataone.org/portals-1.0.0,Dataset portals v1.0.0,METADATA,text/xml,xml
