id	X.id	X.type	type	name	flat	details.description	details.numberOfClasses	details.categories	details.hasOntologyLanguage	details.released	details.creationDate	details.homepage	details.publication	details.documentation	details.version	details.metricsAvailable	details.hasSubmissions
ICO	https://data.bioontology.org/ontologies/ICO	http://data.bioontology.org/metadata/Ontology	Ontology	Informed Consent Ontology	FALSE	Informed Consent Ontology (ICO) is a community-based ontology in the domain of informed consent. It is an OBO library ontology and developed by following the OBO Foundry principles. 	963	Health	OWL	2021-04-01T18:09:00-07:00	2021-04-01T18:09:03-07:00	https://github.com/ICO-ontology/ICO	http://ceur-ws.org/Vol-1327/icbo2014_paper_54.pdf	https://github.com/ICO-ontology/ICO	1.0.187	TRUE	TRUE
DRPSNPTO	https://data.bioontology.org/ontologies/DRPSNPTO	http://data.bioontology.org/metadata/Ontology	Ontology	Dementia-Related Psychotic Symptoms Non-Pharmacological Treatment Ontology	FALSE	The DRPSNPTO ontology represents the domain knowledge specific to non-pharmacological treatment of psychotic symptoms in dementia in the long-term care setting.	610	Taxonomic Classification|Health|Vocabularies	OWL	2021-03-08T00:00:00+00:00	2021-03-08T15:41:27-08:00				v1.0	TRUE	TRUE
GEOSPECIES	https://data.bioontology.org/ontologies/GEOSPECIES	http://data.bioontology.org/metadata/Ontology	Ontology	GeoSpecies Ontology	FALSE	This ontology was designed to help integrate species concepts with species occurrences, gene sequences, images, references and geographical information. See also Taxonconcept.org	86	Other	OWL	2012-10-02T00:00:00+00:00	2017-12-13T13:51:09-08:00	http://lod.geospecies.org/	http://about.geospecies.org/	http://lod.geospecies.org/ontology/doc/index.html	2012-10-02	TRUE	TRUE
TEO	https://data.bioontology.org/ontologies/TEO	http://data.bioontology.org/metadata/Ontology	Ontology	Time Event Ontology	FALSE	The Time Event Ontology (TEO) is an ontology for representing events, time, and their relationships.	994	Other	OWL	2012-04-26T00:00:00-07:00	2012-04-27T09:21:15-07:00				1.0.8	TRUE	TRUE
OMV	https://data.bioontology.org/ontologies/OMV	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology Metadata Vocabulary	FALSE	A standard for ontology metadata; a vocabulary of terms and definitions describing ontologies which specifies reusability-enhancing ontology features for human and machine processing purposes.	16	Vocabularies	OWL	2009-12-24T00:00:00+00:00	2017-01-25T18:04:32-08:00	http://omv2.sourceforge.net/index.html		https://sourceforge.net/projects/omv2/files/OMV%20Documentation/	2.4.1	TRUE	TRUE
TMO	https://data.bioontology.org/ontologies/TMO	http://data.bioontology.org/metadata/Ontology	Ontology	Translational Medicine Ontology	FALSE	This project focuses on the development of a high level patient-centric ontology for the pharmaceutical industry. The ontology should enable silos in discovery research, hypothesis management, experimental studies, compounds, formulation, drug development, market size, competitive data, population data, etc. to be brought together. This would enable scientists to answer new questions, and to answer existing scientific questions more quickly. This will help pharmaceutical companies to model patient-centric information, which is essential for the tailoring of drugs, and for early detection of compounds that may have sub-optimal safety profiles. The ontology should link to existing publicly available domain ontologies.	225	All Organisms|Health	OWL	2016-05-16T18:27:01-07:00	2016-05-16T18:27:01-07:00	http://esw.w3.org/HCLSIG/PharmaOntology	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3102889/	https://github.com/micheldumontier/translationalmedicineontology	1.0.2	TRUE	TRUE
OPMI	https://data.bioontology.org/ontologies/OPMI	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Precision Medicine and Investigation	FALSE	The Ontology of Precision Medicine and Investigation (OPMI) is an application ontology to support precision medicine and its related investigations. OPMI is community-driven and developed by following the OBO Foundry ontology development principles. OPMI reuses, aligns, and integrates related terms from existing OBO ontologies.  	2940	Health	OWL	2021-05-29T18:10:07-07:00	2021-05-29T18:10:11-07:00	https://github.com/OPMI/opmi			Vision Release: 1.0.130	TRUE	TRUE
OFSMR	https://data.bioontology.org/ontologies/OFSMR	http://data.bioontology.org/metadata/Ontology	Ontology	Open Predictive Microbiology Ontology	FALSE	Food-matrix ontology for Open Food Safety Model Repository	159	Biomedical Resources|Vocabularies	OWL	2015-11-23T00:00:00+00:00	2017-11-22T02:55:11-08:00	https://sites.google.com/site/openfsmr/open-fsmr-detailfilter			0.4	TRUE	TRUE
MOOCCUADO	https://data.bioontology.org/ontologies/MOOCCUADO	http://data.bioontology.org/metadata/Ontology	Ontology	Molgula occulta Anatomy and Development Ontology	FALSE	The first ontology describing the anatomy and the development of Molgula occulta. 	856	Anatomy|Animal Development	OBO	2015-08-06T00:00:00+00:00	2016-08-04T15:32:06-07:00	http://www.aniseed.cnrs.fr/				TRUE	TRUE
LIFO	https://data.bioontology.org/ontologies/LIFO	http://data.bioontology.org/metadata/Ontology	Ontology	Life Ontology	FALSE	The Life Ontology (LifO) is an ontology of the life of organism. LifO represents the life processes of organisms and related entities and relations. LifO is a general purpose ontology that covers the common features associated with different organisms such as unicellular prokaryotes (e.g., E. coli) and multicellular organisms (e.g., human).	215	All Organisms	OWL	2018-03-11T00:00:00+00:00	2018-03-11T13:47:18-07:00	https://github.com/lifeontology/lifo			Vision Release: 1.0.17	TRUE	TRUE
