"path" "abrev"
"2" "Root/1_eml-access/1_schema/6_complexType:AccessRule" "AccessRule"
"1" "Root/1_eml-access/1_schema/5_complexType:AccessType" "AccessType"
"5" "Root/2_eml-attribute/1_schema/11_complexType:Accuracy" "Accuracy"
"50" "Root/11_eml-party/1_schema/6_complexType:Address" "Address"
"34" "Root/9_eml-literature/1_schema/10_complexType:Article" "Article"
"3" "Root/2_eml-attribute/1_schema/9_complexType:AttributeListType" "AttributeListType"
"4" "Root/2_eml-attribute/1_schema/10_complexType:AttributeType" "AttributeType"
"42" "Root/9_eml-literature/1_schema/18_complexType:AudioVisual" "AudioVisual"
"68" "Root/17_eml-spatialRaster/1_schema/11_complexType:BandType" "BandType"
"35" "Root/9_eml-literature/1_schema/11_complexType:Book" "Book"
"12" "Root/2_eml-attribute/1_schema/19_group:BoundsDateGroup" "BoundsDateGroup"
"11" "Root/2_eml-attribute/1_schema/18_group:BoundsGroup" "BoundsGroup"
"36" "Root/9_eml-literature/1_schema/12_complexType:Chapter" "Chapter"
"33" "Root/9_eml-literature/1_schema/9_complexType:CitationType" "CitationType"
"37" "Root/9_eml-literature/1_schema/13_complexType:ConferenceProceedings" "ConferenceProceedings"
"19" "Root/3_eml-constraint/1_schema/6_group:ConstraintBaseGroup" "ConstraintBaseGroup"
"21" "Root/4_eml-coverage/1_schema/7_complexType:Coverage" "Coverage"
"69" "Root/17_eml-spatialRaster/1_schema/16_complexType:DataQuality" "DataQuality (1)"
"74" "Root/19_eml-spatialVector/1_schema/12_complexType:DataQuality" "DataQuality (2)"
"28" "Root/5_eml-dataset/1_schema/17_complexType:DatasetType" "DatasetType"
"30" "Root/6_eml-dataTable/1_schema/8_complexType:DataTableType" "DataTableType"
"32" "Root/8_eml-entity/1_schema/12_group:EntityGroup" "EntityGroup"
"43" "Root/9_eml-literature/1_schema/19_complexType:Generic" "Generic"
"71" "Root/18_eml-spatialReference/1_schema/5_complexType:geogCoordSysType" "geogCoordSysType"
"24" "Root/4_eml-coverage/1_schema/10_complexType:GeographicCoverage" "GeographicCoverage"
"25" "Root/4_eml-coverage/1_schema/11_complexType:GRingPointType" "GRingPointType"
"72" "Root/18_eml-spatialReference/1_schema/6_complexType:horizCoordSysType" "horizCoordSysType"
"65" "Root/15_eml-resource/1_schema/26_complexType:i18nNonEmptyStringType" "i18nNonEmptyStringType"
"82" "Root/21_eml-text/1_schema/10_complexType:i18nString" "i18nString"
"60" "Root/15_eml-resource/1_schema/18_complexType:InlineType" "InlineType"
